state,district,location,latitude,longitude,date,groundwater_level_m_bgl,measurement
Punjab,Ludhiana,Sidhwan Bet Sidhwan Bet,30.9375,75.4625,1994-01-01,3.6,jan
Punjab,Ludhiana,Samrala Utlan,30.81944,76.19667,1994-01-01,9.8,jan
Punjab,Ludhiana,Dehlon Gopalpur,30.7375,75.84167,1994-01-01,7.0,jan
Punjab,Ludhiana,Doraha Kadon,30.76667,76.04167,1994-01-01,8.4,jan
Punjab,Ludhiana,Jagraon Chowkiman,30.82083,75.60694,1994-01-01,9.0,jan
Punjab,Ludhiana,Jagraon Jagraon,30.775,75.47083,1994-01-01,11.1,jan
Punjab,Ludhiana,Jagraon Manoke,30.67639,75.46056,1994-01-01,12.4,jan
Punjab,Ludhiana,Ludhiana City Mudian Kalan,30.8875,75.925,1994-01-01,9.8,jan
Punjab,Ludhiana,Ludhiana-1 Kohara,30.86667,76.0,1994-01-01,8.0,jan
Punjab,Ludhiana,Ludhiana-1 Lalan,30.85,76.075,1994-01-01,2.7,jan
Punjab,Ludhiana,Ludhiana-2 Chaunta,30.95694,76.05833,1994-01-01,3.8,jan
Punjab,Ludhiana,Ludhiana-2 Malakpur,30.92083,75.72222,1994-01-01,11.2,jan
Punjab,Ludhiana,Ludhiana-2 Pratapgarh,30.88889,76.06806,1994-01-01,7.9,jan
Punjab,Ludhiana,Machhiwara Hedon,30.82917,76.26667,1994-01-01,10.4,jan
Punjab,Ludhiana,Ludhiana-1 Badowal,30.8625,75.75,1994-01-01,10.9,jan
Punjab,Ludhiana,Machhiwara Machhiwara,30.9125,76.20417,1994-01-01,8.5,jan
Punjab,Ludhiana,Samrala Seh,30.76361,76.23889,1994-01-01,12.1,jan
Punjab,Ludhiana,Machhiwara Jodhwal,30.96611,76.20583,1994-01-01,3.4,jan
Punjab,Ludhiana,Raikot Kamalpur,30.70833,75.525,1994-01-01,13.4,jan
Punjab,Ludhiana,Raikot Gobindgarh,30.6,75.5875,1994-01-01,8.3,jan
Punjab,Ludhiana,Pakhowal Raikot,30.65556,75.6,1994-01-01,14.1,jan
Punjab,Ludhiana,Pakhowal Kalak,30.71667,75.78472,1994-01-01,10.2,jan
Punjab,Ludhiana,Pakhowal Mansuran,30.80833,75.75833,1994-01-01,9.0,jan
Punjab,Ludhiana,Maloud Sahaora,30.65306,76.00778,1994-01-01,8.5,jan
Punjab,Ludhiana,Machhiwara Sherpur Bhet,30.93583,76.30361,1994-01-01,2.3,jan
Punjab,Ludhiana,Machhiwara Sahlumajra,30.90611,76.25306,1994-01-01,5.0,jan
Punjab,Ludhiana,Machhiwara Punian,30.87556,76.14361,1994-01-01,2.9,jan
Punjab,Ludhiana,Machhiwara Mushkabad,30.86611,76.23139,1994-01-01,8.3,jan
Punjab,Ludhiana,Pakhowal Gujjarwal,30.74167,75.74167,1994-01-01,10.2,jan
Punjab,Ludhiana,Pakhowal Kalak,30.71667,75.78472,1994-05-01,10.03,pre
Punjab,Ludhiana,Raikot Kamalpur,30.70833,75.525,1994-05-01,11.01,pre
Punjab,Ludhiana,Pakhowal Mansuran,30.80833,75.75833,1994-05-01,9.86,pre
Punjab,Ludhiana,Pakhowal Raikot,30.65556,75.6,1994-05-01,14.65,pre
Punjab,Ludhiana,Raikot Gobindgarh,30.6,75.5875,1994-05-01,9.92,pre
Punjab,Ludhiana,Samrala Seh,30.76361,76.23889,1994-05-01,13.17,pre
Punjab,Ludhiana,Dehlon Gopalpur,30.7375,75.84167,1994-05-01,7.85,pre
Punjab,Ludhiana,Sidhwan Bet Lilan,30.875,75.47917,1994-05-01,9.6,pre
Punjab,Ludhiana,Sidhwan Bet Sidhwan Bet,30.9375,75.4625,1994-05-01,4.59,pre
Punjab,Ludhiana,Jagraon Chowkiman,30.82083,75.60694,1994-05-01,9.64,pre
