crop_year,district,block,paddy_production_reported,wheat_production_reported,source,note
2016-17,Ludhiana,Ludhiana,16182,15950,"Ludhiana District Administration, Chief Agriculture Office",Units are kept as reported because the district page does not clearly label the production unit.
2016-17,Ludhiana,Sidhwan Bet,35717,36470,"Ludhiana District Administration, Chief Agriculture Office",Units are kept as reported because the district page does not clearly label the production unit.
2016-17,Ludhiana,Jagraon,34154,34042,"Ludhiana District Administration, Chief Agriculture Office",Units are kept as reported because the district page does not clearly label the production unit.
2016-17,Ludhiana,Sudhar,31067,31270,"Ludhiana District Administration, Chief Agriculture Office",Units are kept as reported because the district page does not clearly label the production unit.
2016-17,Ludhiana,Pakhowal,24290,24425,"Ludhiana District Administration, Chief Agriculture Office",Units are kept as reported because the district page does not clearly label the production unit.
2016-17,Ludhiana,Dehlon,23082,22880,"Ludhiana District Administration, Chief Agriculture Office",Units are kept as reported because the district page does not clearly label the production unit.
2016-17,Ludhiana,Doraha,20855,20732,"Ludhiana District Administration, Chief Agriculture Office",Units are kept as reported because the district page does not clearly label the production unit.
2016-17,Ludhiana,Khanna,21943,21459,"Ludhiana District Administration, Chief Agriculture Office",Units are kept as reported because the district page does not clearly label the production unit.
2016-17,Ludhiana,Samrala,15455,15455,"Ludhiana District Administration, Chief Agriculture Office",Units are kept as reported because the district page does not clearly label the production unit.
2016-17,Ludhiana,Machhiwara,27715,27363,"Ludhiana District Administration, Chief Agriculture Office",Units are kept as reported because the district page does not clearly label the production unit.
2016-17,Ludhiana,Mangat,37940,37128,"Ludhiana District Administration, Chief Agriculture Office",Units are kept as reported because the district page does not clearly label the production unit.
